id,resultName,resultEn,ingredients,ability,notes
22,작은 고추가 강하다,MightyPepper,고추냉이,"전방 부채꼴 매운 안개, 적 공격력 대폭 감소",
23,퍼담아!,ScoopBack,국자,"적의 투사체를 쳐서 되돌림, 맞출시 데미지 150% 증가",
24,은박갑옷,FoilArmor,쿠킹호일,5초간 받는 데미지 50% 감소,
25,독요리사,PoisonChef,프라이팬;유통기한 지난 우유,타격한 적이 5초간 동료 적을 공격함 (혼란),
26,화염팬,FlamePan,프라이팬;고추냉이,"근접 타격이 화상 부여, 3초간 지속 데미지",
27,생화학무기,Biohazard,고추냉이;유통기한 지난 우유,자기 주변 넓은 범위 지속 데미지 장판 8초,
28,위성안테나,SatelliteDish,국자;쿠킹호일,10초간 적 전원 위치 표시 + 가장 먼 적에게 자동 공격,
29,타악기견,PercussionDog,프라이팬;국자,"3초간 주변에 리듬 충격파, 박자마다 적 넉백",
30,매운은박구이,SpicyFoilGrill,쿠킹호일;고추냉이,"설치형 함정, 밟은 적 즉시 경직 + 방어력 감소",
31,자물쇠깨기,LockBreaker,프라이팬;녹슨 열쇠,보스 방어막 무시하고 직접 타격 가능 (10초),
32,역대급악취,UltimateStench,유통기한 지난 우유;짝짝이 양말,맵 전체 적 이동속도 30% 감소 15초간,
33,매운비,SpicyRain,고추냉이;찢어진 우산,"하늘에서 고추냉이 비가 내림, 전체 적 지속 데미지 3초(-10%), 쿨타임 20초",
34,출장요리사,CateringChef,택배상자;프라이팬,"랜덤 위치 3곳에 프라이팬 내려찍기, 범위 스턴",
35,은박택배,FoilParcel,쿠킹호일;택배상자,"적에게 달라붙는 시한폭탄 부착, 3초 후 폭발",
36,바람국자,WindLadle,국자;찢어진 우산,"전방에 강한 바람, 적 전원 위쪽으로 밀어내기",
37,적벽대전,RedCliffsBattle,프라이팬;삼국지 책,"전방 넓은 부채꼴 화염 공격, 적 전원 화상(지속 대미지 -5%)",
38,매운토끼,SpicyRabbit,당근인형;고추냉이,"당근 유도탄 3발 발사, 맞은 적 경직 + 지속 데미지",
39,배탈곰,UpsetTummyBear,곰인형;유통기한 지난 우유,"자폭형 곰인형 소환, 적에게 걸어가서 폭발",
40,홈쇼핑,HomeShopping,리모컨;프라이팬,5초간 공격속도 2배,
41,거울나라의 국자,MirrorLandLadle,깨진 거울;국자,자신의 공격이 전부 2회 반복됨 (8초간),
42,전파교란,SignalJam,리모컨;쿠킹호일,적 전원 3초간 랜덤 방향으로 이동 (조작 반전),
43,지옥의주방,HellsKitchen,프라이팬;고추냉이;유통기한 지난 우유,맵 전체 10초간 모든 적 지속 데미지 + 혼란,
44,테러인형,TerrorDoll,짝짝이 양말;고추냉이;곰인형,"곰인형이 적진 돌진, 범위 기절 + 중독",
45,군영취사병,ArmyCook,삼국지 책;국자;프라이팬;녹슨 열쇠,20초간 아군 유닛 3마리 소환,
46,UFO견,UfoDog,쿠킹호일;깨진 거울;리모컨,"쿠킹호일 UFO 오라, 5초간 적 공격 무시 + 자동 레이저 공격",
47,생존키트,SurvivalKit,택배상자;유통기한 지난 우유;찢어진 우산;쿠킹호일,1회 부활 + 부활 시 주변 적 밀어내기 + 3초 무적,
48,당근방패,CarrotShield,당근인형,피격 시 당근 파편이 주변 적에게 반사 데미지,
49,포근방패,CozyShield,곰인형,피격 시 30% 확률로 데미지 무효화,
50,일시정지,Pause,리모컨,화면 내 적 전체 1.5초 정지 (쿨타임 10초),
51,지략견,StrategistDog,삼국지 책,적이 서로 가장 가까운 적을 공격함 (동요 5초),
52,저주인형,CurseDoll,곰인형;깨진 거울,받은 데미지 200%를 가장 가까운 적에게 전달 (8초),
53,채널서핑,ChannelSurf,리모컨;깨진 거울,5초마다 랜덤 버프 1개 부여 (20초간),
54,채널돌리개,ChannelShuffle,리모컨;삼국지 책,적들의 위치를 랜덤으로 섞어버림,
55,인형극단,PuppetTroupe,곰인형;당근인형,인형 2개가 주변을 돌며 자동 공격,
56,관곰,BearGuanYu,곰인형;삼국지 책,15초간 공격력 대폭 상승 + 타격 시 적 밀어내기,
57,당근미사일,CarrotMissile,리모컨;당근인형,리모컨 누르면 유도 당근 5발 연속 발사,
58,동탁의거울,DongtakMirror,깨진 거울;삼국지 책,"가장 강한 적 1마리 10초간 아군 전환,",한 번 사용 시 15초가 끝나면 일반 개로 변경
59,인형군단,DollLegion,당근인형;곰인형;깨진 거울,"분신 인형 5개 소환, 각각 자동 공격 10초",
60,삼국지극장,ThreeKingdomsShow,리모컨;삼국지 책;깨진 거울;곰인형,"관우·장비·조조 곰인형 3마리 소환, 15초간 전투",한 번 사용 시 15초가 끝나면 일반 개로 변경
61,쓸어버려!,SweepAway,빗자루,"근접공격, 전방 넓은 범위 밀어내기 공격",
62,쿠션범퍼,CushionBumper,쿠션,적과 충돌 시 자동 넉백 + 충격파 데미지,
63,먼지구름,DustCloud,먼지뭉치,"5초간 회피율 80%, 적 공격이 거의 안 맞음",
64,채찍개,WhipDog,충전기 줄,"사거리 2배 증가, 긴 거리에서 적 타격 가능",
65,에너자이개,EnergizerDog,건전지,10초간 모든 쿨타임 50% 감소,
66,먼지폭풍,DustStorm,빗자루;먼지뭉치,"토네이도 소환, 적을 빨아들여 한곳에 모은 뒤 폭발",
67,전기견,ElectricDog,충전기 줄;건전지,"공격마다 감전, 감전된 적끼리 가까우면 연쇄 번개",
68,마녀견,WitchDog,쿠션;빗자루,10초간 적 공격 무시 + 위에서 쿠션 투하 공격,
69,알레르기폭탄,AllergyBomb,쿠션;먼지뭉치,"적 전원 재채기, 3초간 공격 불가",
70,전기빗자루,ElectricBroom,충전기 줄;빗자루,"전방 쓸기 공격에 감전 추가, 감전시 4초간 정지, 데미지 40% 감소",
71,전기방석,ElectricCushion,건전지;쿠션,"터치로 원하는 곳에 설치, 밟은 적 5초간 감전으로 이동불가, 쿨타임 5초, 한 번 밟으면 사라짐",
72,완전체리모컨,UltimateRemote,건전지;리모컨,"적 1마리 지정, 가장 가까이에 있는 적에게 돌진하여 동귀어진",
73,정전기개,StaticDog,충전기 줄;짝짝이 양말,"접촉한 적 전원 3초 마비, 연쇄 감전",
74,곰팡이포자,MoldSpore,먼지뭉치;유통기한 지난 우유,"맵에 곰팡이 지대 생성, 적 지속 데미지 + 둔화",
75,당근펀치,CarrotPunch,빗자루;당근인형,"이동속도 상승 + 당근 인형이 10초에 한 번씩 갈림, 당근 인형을 밟으면 속도 50% 감소",
76,낮잠세트,NapSet,쿠션;곰인형,"주변 적 전원 수면 5초, 피격 시 깨어남",
77,레이저견,LaserDog,건전지;깨진 거울,"거울에서 레이저 반사, 직선상 적 전원 관통 데미지",
78,전기요리사,ElectricChef,충전기 줄;국자;프라이팬,감전 프라이팬 3연타 + 마지막 타격 범위 폭발,
79,쓰레기폭풍,TrashStorm,먼지뭉치;택배상자;찢어진 우산,"잡동사니 토네이도, 적 끌어모아 12초간 지속 데미지",
80,대마법사견,ArchmageDog,빗자루;녹슨 열쇠;깨진 거울;건전지,10초간 적 공격 무시 + 번개 자동 공격 + 분신 소환,
81,돌머리,StoneHead,돌멩이,"방어력 대폭 상승, 이동속도 30% 감소",
82,민들레솜,DandelionFluff,민들레,8초간 적 공격 무시 + 홀씨 자동 범위 공격,
83,땅굴개,TunnelDog,지렁이,"지하 잠입, 3초 후 지정 위치에서 솟아올라 범위 공격",
84,워터건,WaterGun,호스,"전방 직선 물줄기, 적 밀어내기 + 3초 둔화",
85,석궁견,CrossbowDog,대나무;돌멩이,"돌멩이를 대나무로 발사, 관통형 원거리 공격",
86,꽃비,FlowerRain,호스;민들레,"홀씨가 맵 전체 흩뿌려짐, 적 전원 시야 차단 5초",
87,지진개,EarthquakeDog,지렁이;돌멩이,땅을 흔들어 맵 전체 적 넘어뜨림 2초,
88,진흙탕,Mudpit,호스;지렁이,"맵 바닥 진흙 변경, 적 이동속도 50% 감소 10초",
89,대나무피리,BambooFlute,대나무;민들레,"아름다운 선율, 적 전원 매혹 5초간 제자리 춤",
90,물대포,WaterCannon,대나무;호스,"대나무 통에 물 압축, 전방 초강력 일직선 공격",
91,돌구이,StoneGrill,돌멩이;프라이팬,"달궈진 돌 투척 3발, 맞은 자리에 화상 장판",
92,감전호스,ShockHose,호스;충전기 줄;건전지,"물줄기에 전기, 맞은 적 전원 연쇄 감전",
93,낚시개,FishingDog,지렁이;곰인형,지렁이 미끼로 적 끌어당겨 곰인형이 5초 속박,
94,환상의꽃,IllusionFlower,민들레;깨진 거울,"분신 3마리 각각 민들레 홀씨 공격, 넓은 범위",
95,제갈량견,ZhugeLiangDog,대나무;삼국지 책,15초간 적 이동 경로 예측 + 함정 자동 설치,
96,투석기,Catapult,돌멩이;쿠션,"쿠션에 돌 올려 발사, 포물선 범위 공격 3연발",
97,상한분수,SpoiledFountain,호스;유통기한 지난 우유,"독우유 분수 뿌림, 주변 적 중독 + 둔화",
98,아웃사이더,Outsider,지렁이;먼지뭉치;짝짝이 양말,너무 역겨워서 적 전원 도망 8초,
99,꽃바람청소,FlowerWindSweep,민들레;빗자루,"홀씨 토네이도, 적 빨아들인 뒤 큰 데미지",
100,전기봉,ElectricRod,대나무;충전기 줄,근접 공격 시 100% 감전 + 범위 확대,
101,골렘소환,GolemSummon,돌멩이;녹슨 열쇠;깨진 거울,"돌 골렘 1마리 소환, 20초간 대신 싸워줌",
102,최루가스,TearGas,호스;고추냉이;민들레,"맵 전체 안개, 적 명중률 0%에 가까움 3초",
103,인형조종술,PuppetControl,대나무;당근인형;리모컨,"거대 당근인형 소환, 리모컨으로 직접 조종 12초",
104,마녀의수프,WitchsSoup,지렁이;국자;유통기한 지난 우유,"독 가마솥 설치, 주변 적 흡입 + 데미지",
105,성벽건설,WallBuild,돌멩이;돌멩이;대나무;호스,"맵에 돌벽 3개 생성, 적 부딪히면 데미지",
106,정원의주인,GardenMaster,대나무;돌멩이;민들레;지렁이,"마당 전체 아군 영역, 적 자동 데미지 + 아군 회복 20초",
107,한물간스타,FadedStar,썬글라스;시든꽃;냄새나는 양말,"적 전원 비웃음, 5초간 방어력 0으로 감소",
