id,displayName,ability
CateringChef,출장요리사,"랜덤 위치 3곳에 프라이팬 내려찍기, 범위 스턴"
FoilParcel,은박택배,"적에게 달라붙는 시한폭탄 부착, 3초 후 폭발"
WindLadle,바람국자,"전방에 강한 바람, 적 전원 위쪽으로 밀어내기"
RedCliffsBattle,적벽대전,"전방 넓은 부채꼴 화염 공격, 적 전원 화상(지속 대미지 -5%)"
SpicyRabbit,매운토끼,"당근 유도탄 3발 발사, 맞은 적 경직 + 지속 데미지"
UpsetTummyBear,배탈곰,"자폭형 곰인형 소환, 적에게 걸어가서 폭발"
HomeShopping,홈쇼핑,5초간 공격속도 2배
MirrorLandLadle,거울나라의 국자,자신의 공격이 전부 2회 반복됨 (8초간)
SignalJam,전파교란,적 전원 3초간 랜덤 방향으로 이동 (조작 반전)
HellsKitchen,지옥의주방,맵 전체 10초간 모든 적 지속 데미지 + 혼란
TerrorDoll,테러인형,"곰인형이 적진 돌진, 범위 기절 + 중독"
ArmyCook,군영취사병,20초간 아군 유닛 3마리 소환
UfoDog,UFO견,"쿠킹호일 UFO 오라, 5초간 적 공격 무시 + 자동 레이저 공격"
SurvivalKit,생존키트,1회 부활 + 부활 시 주변 적 밀어내기 + 3초 무적
CarrotShield,당근방패,피격 시 당근 파편이 주변 적에게 반사 데미지
CozyShield,포근방패,피격 시 30% 확률로 데미지 무효화
Pause,일시정지,화면 내 적 전체 1.5초 정지 (쿨타임 10초)
StrategistDog,지략견,적이 서로 가장 가까운 적을 공격함 (동요 5초)
CurseDoll,저주인형,받은 데미지 200%를 가장 가까운 적에게 전달 (8초)
ChannelSurf,채널서핑,5초마다 랜덤 버프 1개 부여 (20초간)
ChannelShuffle,채널돌리개,적들의 위치를 랜덤으로 섞어버림
PuppetTroupe,인형극단,인형 2개가 주변을 돌며 자동 공격
BearGuanYu,관곰,15초간 공격력 대폭 상승 + 타격 시 적 밀어내기
CarrotMissile,당근미사일,리모컨 누르면 유도 당근 5발 연속 발사
DongtakMirror,동탁의거울,"가장 강한 적 1마리 10초간 아군 전환,"
DollLegion,인형군단,"분신 인형 5개 소환, 각각 자동 공격 10초"
ThreeKingdomsShow,삼국지극장,"관우·장비·조조 곰인형 3마리 소환, 15초간 전투"
SweepAway,쓸어버려!,"근접공격, 전방 넓은 범위 밀어내기 공격"
CushionBumper,쿠션범퍼,적과 충돌 시 자동 넉백 + 충격파 데미지
DustCloud,먼지구름,"5초간 회피율 80%, 적 공격이 거의 안 맞음"
WhipDog,채찍개,"사거리 2배 증가, 긴 거리에서 적 타격 가능"
EnergizerDog,에너자이개,10초간 모든 쿨타임 50% 감소
DustStorm,먼지폭풍,"토네이도 소환, 적을 빨아들여 한곳에 모은 뒤 폭발"
ElectricDog,전기견,"공격마다 감전, 감전된 적끼리 가까우면 연쇄 번개"
WitchDog,마녀견,10초간 적 공격 무시 + 위에서 쿠션 투하 공격
AllergyBomb,알레르기폭탄,"적 전원 재채기, 3초간 공격 불가"
ElectricBroom,전기빗자루,"전방 쓸기 공격에 감전 추가, 감전시 4초간 정지, 데미지 40% 감소"
ElectricCushion,전기방석,"터치로 원하는 곳에 설치, 밟은 적 5초간 감전으로 이동불가, 쿨타임 5초, 한 번 밟으면 사라짐"
UltimateRemote,완전체리모컨,"적 1마리 지정, 가장 가까이에 있는 적에게 돌진하여 동귀어진"
StaticDog,정전기개,"접촉한 적 전원 3초 마비, 연쇄 감전"
MoldSpore,곰팡이포자,"맵에 곰팡이 지대 생성, 적 지속 데미지 + 둔화"
CarrotPunch,당근펀치,"이동속도 상승 + 당근 인형이 10초에 한 번씩 갈림, 당근 인형을 밟으면 속도 50% 감소"
NapSet,낮잠세트,"주변 적 전원 수면 5초, 피격 시 깨어남"
LaserDog,레이저견,"거울에서 레이저 반사, 직선상 적 전원 관통 데미지"
ElectricChef,전기요리사,감전 프라이팬 3연타 + 마지막 타격 범위 폭발
TrashStorm,쓰레기폭풍,"잡동사니 토네이도, 적 끌어모아 12초간 지속 데미지"
ArchmageDog,대마법사견,10초간 적 공격 무시 + 번개 자동 공격 + 분신 소환
StoneHead,돌머리,"방어력 대폭 상승, 이동속도 30% 감소"
DandelionFluff,민들레솜,8초간 적 공격 무시 + 홀씨 자동 범위 공격
TunnelDog,땅굴개,"지하 잠입, 3초 후 지정 위치에서 솟아올라 범위 공격"
WaterGun,워터건,"전방 직선 물줄기, 적 밀어내기 + 3초 둔화"
CrossbowDog,석궁견,"돌멩이를 대나무로 발사, 관통형 원거리 공격"
FlowerRain,꽃비,"홀씨가 맵 전체 흩뿌려짐, 적 전원 시야 차단 5초"
EarthquakeDog,지진개,땅을 흔들어 맵 전체 적 넘어뜨림 2초
Mudpit,진흙탕,"맵 바닥 진흙 변경, 적 이동속도 50% 감소 10초"
BambooFlute,대나무피리,"아름다운 선율, 적 전원 매혹 5초간 제자리 춤"
WaterCannon,물대포,"대나무 통에 물 압축, 전방 초강력 일직선 공격"
StoneGrill,돌구이,"달궈진 돌 투척 3발, 맞은 자리에 화상 장판"
ShockHose,감전호스,"물줄기에 전기, 맞은 적 전원 연쇄 감전"
FishingDog,낚시개,지렁이 미끼로 적 끌어당겨 곰인형이 5초 속박
IllusionFlower,환상의꽃,"분신 3마리 각각 민들레 홀씨 공격, 넓은 범위"
ZhugeLiangDog,제갈량견,15초간 적 이동 경로 예측 + 함정 자동 설치
Catapult,투석기,"쿠션에 돌 올려 발사, 포물선 범위 공격 3연발"
SpoiledFountain,상한분수,"독우유 분수 뿌림, 주변 적 중독 + 둔화"
Outsider,아웃사이더,너무 역겨워서 적 전원 도망 8초
FlowerWindSweep,꽃바람청소,"홀씨 토네이도, 적 빨아들인 뒤 큰 데미지"
ElectricRod,전기봉,근접 공격 시 100% 감전 + 범위 확대
GolemSummon,골렘소환,"돌 골렘 1마리 소환, 20초간 대신 싸워줌"
TearGas,최루가스,"맵 전체 안개, 적 명중률 0%에 가까움 3초"
PuppetControl,인형조종술,"거대 당근인형 소환, 리모컨으로 직접 조종 12초"
WitchsSoup,마녀의수프,"독 가마솥 설치, 주변 적 흡입 + 데미지"
WallBuild,성벽건설,"맵에 돌벽 3개 생성, 적 부딪히면 데미지"
GardenMaster,정원의주인,"마당 전체 아군 영역, 적 자동 데미지 + 아군 회복 20초"
FadedStar,한물간스타,"적 전원 비웃음, 5초간 방어력 0으로 감소"
